DATAFLOW,LAST UPDATE,freq,unit,mot_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BE,2016,44061,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BE,2017,47324,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BE,2018,54170,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BE,2019,62694,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BE,2020,74124,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BE,2021,93670,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,BG,2021,3369,p
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CH,2013,15927,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CH,2014,18164,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CH,2015,21865,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CH,2016,25369,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CH,2017,29368,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CH,2018,34135,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CH,2019,43618,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CH,2020,58309,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CH,2021,84498,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CY,2013,6,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CY,2014,15,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CY,2015,23,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CY,2016,213,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CY,2017,489,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CY,2018,632,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CY,2019,728,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CY,2020,809,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CY,2021,937,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CZ,2013,7262,b
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CZ,2014,12482,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CZ,2015,14500,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CZ,2016,15885,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CZ,2017,18321,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CZ,2018,128315,b
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CZ,2019,136792,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CZ,2020,145298,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,CZ,2021,150457,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DE,2013,680000,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DE,2014,704000,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DE,2015,714000,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DE,2016,735533,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DE,2017,561400,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DE,2018,570087,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DE,2019,600731,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DE,2020,749305,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DE,2021,1042733,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DK,2013,1588,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DK,2014,3007,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DK,2015,8013,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DK,2016,8831,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DK,2017,8983,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DK,2018,10257,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DK,2019,15726,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DK,2020,32140,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,DK,2021,66926,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,EE,2013,827,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,EE,2014,1302,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,EE,2015,1501,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,EE,2016,1632,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,EE,2017,1756,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,EE,2018,1909,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,EE,2019,2709,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,EE,2020,3839,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,EE,2021,5034,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ES,2014,8059,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ES,2015,13290,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ES,2016,25161,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ES,2017,38306,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ES,2018,71390,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ES,2019,119234,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ES,2020,150313,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ES,2021,174896,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FI,2013,5000,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FI,2014,5236,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FI,2015,5982,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FI,2016,6707,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FI,2017,8919,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FI,2018,12688,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FI,2019,19106,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FI,2020,27694,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FI,2021,43383,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FR,2013,235327,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FR,2014,237112,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FR,2015,247673,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FR,2016,260664,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FR,2017,276348,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FR,2018,293724,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FR,2019,332398,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FR,2020,451614,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,FR,2021,669653,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HR,2013,51000,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HR,2014,53000,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HR,2015,56264,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HR,2016,60792,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HR,2017,63359,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HR,2018,65664,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HR,2019,67577,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HR,2020,70059,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HR,2021,79674,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HU,2013,28337,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HU,2014,31973,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HU,2015,35535,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HU,2016,41041,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HU,2017,50932,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HU,2018,64670,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HU,2019,83286,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HU,2020,117312,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,HU,2021,166304,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IE,2013,17800,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IE,2014,19410,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IE,2015,21800,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IE,2016,26220,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IE,2017,12050,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IE,2018,13560,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IE,2019,17230,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IE,2020,21120,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IE,2021,30010,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IS,2017,7796,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IS,2018,2810,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IS,2019,3949,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IS,2021,6562,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IT,2013,2769000,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IT,2014,2885597,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IT,2015,3031171,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IT,2016,3134643,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IT,2017,3249530,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IT,2018,3373396,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IT,2019,3568550,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IT,2020,3716808,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,IT,2021,3891296,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LI,2013,100,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LI,2014,130,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LI,2015,147,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LI,2016,208,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LI,2017,257,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LI,2018,335,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LI,2019,407,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LI,2020,500,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LI,2021,723,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LT,2013,306509,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LT,2014,140197,b
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LT,2015,135148,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LT,2016,129819,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LT,2017,121923,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LT,2018,117053,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LT,2019,114833,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LT,2020,113937,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LT,2021,115066,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LU,2013,963,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LU,2014,1374,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LU,2015,1521,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LU,2016,1872,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LU,2017,1516,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LU,2018,1852,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LU,2019,2592,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LU,2020,4490,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LU,2021,8404,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LV,2013,20,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LV,2014,52059,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LV,2015,54294,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LV,2016,52728,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LV,2017,52558,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LV,2018,51319,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LV,2019,49056,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LV,2020,46761,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,LV,2021,44507,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MD,2013,45.290,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MD,2014,85650,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MD,2015,90479,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MD,2016,71621,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MD,2017,81284,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MD,2018,89700,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MD,2019,99045,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MD,2020,106480,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MD,2021,117264,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ME,2016,8159,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ME,2017,7885,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ME,2018,7879,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,ME,2019,7760,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MK,2013,10547,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MK,2014,11209,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MK,2015,11673,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MK,2016,11761,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MK,2017,11599,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MK,2018,11873,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MK,2019,11649,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MK,2020,11653,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MK,2021,12033,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MT,2013,257,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MT,2014,536,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MT,2015,857,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MT,2016,1107,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MT,2017,1398,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MT,2018,1951,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MT,2019,2518,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MT,2020,2905,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,MT,2021,3552,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NL,2015,175033,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NL,2016,168006,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NL,2017,166845,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NL,2018,175481,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NL,2019,234857,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NL,2020,296966,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NL,2021,353874,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NO,2013,20000,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NO,2014,40000,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NO,2015,70000,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NO,2016,98693,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NO,2017,140253,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NO,2018,196722,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NO,2019,262078,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NO,2020,344187,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,NO,2021,466057,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,PL,2013,3191958,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,PL,2014,3242593,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,PL,2015,3317840,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,PL,2016,3427055,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,PL,2017,3472822,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,PL,2018,3721553,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,PL,2019,3926712,
ESTAT:ROAD_EQS_CARPDA(1.0),12/09/23 23:00:00,A,NR,ALT,PL,2020,4063062,
